NAME,B19013_001E,B19301_001E,B17001_002E,state,county
"Grant County, West Virginia",52877,28274,1280,54,023
"Greenbrier County, West Virginia",45519,29992,6434,54,025
"Hampshire County, West Virginia",55222,28713,3941,54,027
"Hancock County, West Virginia",57515,34257,3814,54,029
"Hardy County, West Virginia",49205,30667,2446,54,031
"Harrison County, West Virginia",56184,32658,8830,54,033
"Jackson County, West Virginia",55173,34014,5415,54,035
"Jefferson County, West Virginia",93744,42359,5153,54,037
"Kanawha County, West Virginia",55226,34976,29058,54,039
"Lewis County, West Virginia",50552,31444,2812,54,041
"Lincoln County, West Virginia",50985,26713,3876,54,043
"Logan County, West Virginia",42194,26111,7481,54,045
"McDowell County, West Virginia",28235,15353,5653,54,047
"Marion County, West Virginia",59974,31740,8172,54,049
"Marshall County, West Virginia",58129,33673,4354,54,051
"Mason County, West Virginia",53058,31085,4023,54,053
"Mercer County, West Virginia",46409,27245,10869,54,055
"Mineral County, West Virginia",64728,33580,3631,54,057
"Mingo County, West Virginia",38305,21342,6679,54,059
"Monongalia County, West Virginia",60893,38757,20594,54,061
"Monroe County, West Virginia",52392,26120,1628,54,063
"Morgan County, West Virginia",61021,33029,1808,54,065
"Nicholas County, West Virginia",48826,27744,4081,54,067
"Ohio County, West Virginia",55521,36191,5875,54,069
"Pendleton County, West Virginia",52458,27513,989,54,071
"Pleasants County, West Virginia",59666,39138,542,54,073
"Pocahontas County, West Virginia",41680,23736,1540,54,075
"Preston County, West Virginia",60136,27848,4205,54,077
"Putnam County, West Virginia",75725,38589,6229,54,079
"Raleigh County, West Virginia",47975,27724,15613,54,081
"Randolph County, West Virginia",51186,26289,3943,54,083
"Ritchie County, West Virginia",48973,27997,1686,54,085
"Roane County, West Virginia",41299,24849,2931,54,087
"Summers County, West Virginia",42991,24507,2351,54,089
"Taylor County, West Virginia",52946,30095,2722,54,091
"Tucker County, West Virginia",54053,32590,639,54,093
"Tyler County, West Virginia",59167,29891,986,54,095
"Upshur County, West Virginia",49663,28855,4009,54,097
"Wayne County, West Virginia",52694,29774,6490,54,099
"Webster County, West Virginia",43409,23494,1477,54,101
"Wetzel County, West Virginia",50715,27174,2397,54,103
"Wirt County, West Virginia",52776,26966,1046,54,105
"Wood County, West Virginia",54350,31932,12257,54,107
"Wyoming County, West Virginia",44510,22818,5137,54,109
"Adams County, Wisconsin",55223,32223,2890,55,001
"Ashland County, Wisconsin",57000,31563,2563,55,003
"Barron County, Wisconsin",59379,34146,5401,55,005
"Bayfield County, Wisconsin",67266,39449,1676,55,007
"Brown County, Wisconsin",74066,39091,25358,55,009
"Buffalo County, Wisconsin",64238,34866,1088,55,011
"Burnett County, Wisconsin",60466,36322,1911,55,013
"Calumet County, Wisconsin",84151,42110,3052,55,015
"Chippewa County, Wisconsin",69815,36180,6318,55,017
"Clark County, Wisconsin",63187,29589,4168,55,019
"Columbia County, Wisconsin",79271,40144,4266,55,021
"Crawford County, Wisconsin",60823,32129,1900,55,023
"Dane County, Wisconsin",84297,49280,59287,55,025
"Dodge County, Wisconsin",71747,35949,6485,55,027
"Door County, Wisconsin",68257,45367,2573,55,029
"Douglas County, Wisconsin",64682,35646,4824,55,031
"Dunn County, Wisconsin",69721,34615,4581,55,033
"Eau Claire County, Wisconsin",70127,38529,12308,55,035
"Florence County, Wisconsin",58049,36746,441,55,037
"Fond du Lac County, Wisconsin",70368,36824,8634,55,039
"Forest County, Wisconsin",55552,30310,1257,55,041
"Grant County, Wisconsin",63497,32097,6679,55,043
"Green County, Wisconsin",76080,40954,2414,55,045
"Green Lake County, Wisconsin",66395,35222,2393,55,047
"Iowa County, Wisconsin",79226,39330,1874,55,049
"Iron County, Wisconsin",55777,34669,628,55,051
"Jackson County, Wisconsin",64630,32659,2513,55,053
"Jefferson County, Wisconsin",77018,39035,6326,55,055
"Juneau County, Wisconsin",63455,31211,3737,55,057
"Kenosha County, Wisconsin",76583,38720,18284,55,059
"Kewaunee County, Wisconsin",77610,38012,1372,55,061
"La Crosse County, Wisconsin",68731,39498,13619,55,063
"Lafayette County, Wisconsin",69293,33484,1744,55,065
"Langlade County, Wisconsin",55091,32989,2357,55,067
"Lincoln County, Wisconsin",64314,35558,2888,55,069
"Manitowoc County, Wisconsin",66412,35854,8004,55,071
"Marathon County, Wisconsin",73248,38886,11323,55,073
"Marinette County, Wisconsin",60347,33952,3939,55,075
"Marquette County, Wisconsin",59748,33291,1616,55,077
"Menominee County, Wisconsin",62194,24004,850,55,078
"Milwaukee County, Wisconsin",59319,35039,162787,55,079
"Monroe County, Wisconsin",66451,33256,5259,55,081
"Oconto County, Wisconsin",73611,37124,3181,55,083
"Oneida County, Wisconsin",66111,40086,3552,55,085
"Outagamie County, Wisconsin",78705,42923,12949,55,087
"Ozaukee County, Wisconsin",92258,55948,4036,55,089
"Pepin County, Wisconsin",70833,38730,570,55,091
"Pierce County, Wisconsin",82996,39439,3885,55,093
"Polk County, Wisconsin",74142,37674,3709,55,095
"Portage County, Wisconsin",71301,37990,7011,55,097
"Price County, Wisconsin",55822,33468,1880,55,099
"Racine County, Wisconsin",72658,38288,21743,55,101
"Richland County, Wisconsin",61985,33382,2456,55,103
"Rock County, Wisconsin",70630,35594,15851,55,105
"Rusk County, Wisconsin",57473,31329,1588,55,107
"St. Croix County, Wisconsin",97950,45810,5513,55,109
"Sauk County, Wisconsin",72930,37431,5573,55,111
"Sawyer County, Wisconsin",57519,36167,2333,55,113
"Shawano County, Wisconsin",65493,34825,4037,55,115
"Sheboygan County, Wisconsin",68969,37454,8817,55,117
"Taylor County, Wisconsin",61360,32874,1742,55,119
"Trempealeau County, Wisconsin",68474,34694,2229,55,121
"Vernon County, Wisconsin",65177,32297,4433,55,123
"Vilas County, Wisconsin",63726,40136,2235,55,125
"Walworth County, Wisconsin",75172,40386,9786,55,127
"Washburn County, Wisconsin",58504,34396,2035,55,129
"Washington County, Wisconsin",91915,45821,6436,55,131
"Waukesha County, Wisconsin",101639,55573,19932,55,133
"Waupaca County, Wisconsin",69198,39147,4439,55,135
"Waushara County, Wisconsin",61033,37927,2701,55,137
"Winnebago County, Wisconsin",70041,37983,17725,55,139
"Wood County, Wisconsin",63273,36712,7697,55,141
"Albany County, Wyoming",55887,34969,8060,56,001
"Big Horn County, Wyoming",61262,29746,1271,56,003
"Campbell County, Wyoming",93315,39781,4397,56,005
"Carbon County, Wyoming",65196,33905,1948,56,007
"Converse County, Wyoming",79235,37976,1499,56,009
"Crook County, Wyoming",68876,33386,455,56,011
"Fremont County, Wyoming",60030,30414,5322,56,013
"Goshen County, Wyoming",62356,32693,1084,56,015
"Hot Springs County, Wyoming",64031,33128,720,56,017
"Johnson County, Wyoming",60667,37691,1401,56,019
"Laramie County, Wyoming",76282,41104,8831,56,021
"Lincoln County, Wyoming",83033,38245,1387,56,023
"Natrona County, Wyoming",69104,40346,7120,56,025
"Niobrara County, Wyoming",54375,29442,409,56,027
"Park County, Wyoming",66754,37544,2796,56,029
"Platte County, Wyoming",64753,37756,1008,56,031
"Sheridan County, Wyoming",68898,39656,2633,56,033
"Sublette County, Wyoming",85960,54704,706,56,035
"Sweetwater County, Wyoming",79375,40268,4833,56,037
"Teton County, Wyoming",108279,76296,1606,56,039
"Uinta County, Wyoming",78164,32955,1315,56,041
"Washakie County, Wyoming",61875,32979,503,56,043
"Weston County, Wyoming",71800,37067,830,56,045
