index,fips,annual_mean,annual_median,annual_std,annual_90th,n_days,days_above_35,month_1_mean,month_2_mean,month_3_mean,month_4_mean,month_5_mean,month_6_mean,month_7_mean,month_8_mean,month_9_mean,month_10_mean,month_11_mean,month_12_mean,DJF,JJA,MAM,SON,days_above_12.0,days_above_25.0,days_above_35.0,B19013_001E,NAME,county_name
528,48323,7.659553557074721,6.5,5.307105121045404,14.5,3145,9,5.666193971326165,4.679449144067796,7.206076949820789,11.009012344444445,13.996485241758242,11.795567542372881,9.950452003952568,6.982559827956989,6.212409607407407,6.012298031496062,3.3313594296296296,5.068352516260163,5.1669288239159,9.439261053385417,10.710424906326034,5.168691863979849,465,58,9,48497,"Maverick County, Texas","Maverick County, Texas"
529,48339,9.712697479848867,8.9,4.54966072531371,14.9,3176,0,7.634591888888889,8.50432557709251,8.817835173431734,10.900294984189724,11.03765395340502,14.069241570370371,10.298574096774194,7.617944623655915,10.21036533464567,9.356417480286739,9.429810122222223,8.528621970338984,8.185024026954178,10.624883993961353,10.2452221867995,9.651210466998755,713,46,0,95946,"Montgomery County, Texas","Montgomery County, Texas"
530,48349,8.278685641670409,7.4,4.758717875328094,12.7,2227,0,,,,6.3080616086956525,9.811227329749103,12.722228637037038,9.12104723655914,6.492359927756654,8.14470155925926,7.5539970824372755,6.627145267175573,6.01762876702509,6.01762876702509,9.467074596059113,9.315394643076923,7.451228935881628,273,36,0,56261,"Navarro County, Texas","Navarro County, Texas"
531,48355,8.338365544188862,7.3,4.778751780037207,13.6,8260,17,7.352090630434782,7.415211698529411,8.027894193979934,11.739161218965519,11.991452243410853,11.280234807210032,10.663972567944251,8.029221629565217,6.956782511848341,6.322794673635308,5.266981795294118,6.5915808517673895,7.038752733036157,10.123082268563163,10.611015321996708,6.111136548634812,1320,98,17,64027,"Nueces County, Texas","Nueces County, Texas"
532,48361,8.150414276129032,7.4,4.2452007223870725,12.5,3100,9,6.851439433460076,6.586247826271187,8.12985494623656,8.729027777777778,9.145186236162363,12.051907292592592,8.072082070866141,5.735549157480316,9.190491068965517,8.150786023923445,8.074686848148149,6.70356463878327,6.718268448818898,8.690428407455013,8.662698170731709,8.489726887837838,355,45,9,71910,"Orange County, Texas","Orange County, Texas"
533,48375,6.183504090262751,5.5,3.980183379947452,10.3,3235,9,3.9174486810035845,3.930329222222222,5.117592598566308,8.629122340740741,8.624566853046595,9.761547618518518,7.0896087025089605,6.231098268817204,6.355423285185185,5.787566099630997,4.002445557377049,4.3468157756654,4.063757802267002,7.6716124420289855,7.444354491545894,5.428014542675159,171,18,9,47974,"Potter County, Texas","Potter County, Texas"
534,48439,8.968110036772217,8.0,5.144247282893508,14.2,12727,18,7.409213938125569,6.419193585685484,7.369645174354243,8.695580922932331,10.546261669051878,13.530824719090909,10.3897262,7.790751485338727,9.296903821096173,9.315543948490232,8.295287321428571,8.185557872439478,7.362355548183254,10.67160653711373,8.889012252602573,8.9659785210643,2315,342,18,78872,"Tarrant County, Texas","Tarrant County, Texas"
535,48453,8.77385488888889,8.0,4.891115760599335,13.3,9774,18,7.3759119780219775,6.673960743315508,7.4331838568047335,10.089617452784504,11.732387528735632,13.699065382432432,10.709944570114944,7.736314038647342,8.009969326949385,7.40812915925926,6.612909435251798,7.818000895662369,7.31477244214876,10.60731262633306,9.768690092483276,7.314121543578947,1516,181,18,92731,"Travis County, Texas","Travis County, Texas"
536,48479,10.557753492949471,8.4,7.233934527218111,21.7,3404,18,8.189161774193549,7.748241404761905,9.192897548387098,15.13410351612903,19.62917769722222,16.266050977777777,13.605981326996199,8.10908682795699,6.432664144444444,6.362482157706093,5.135834733333333,7.112118501792115,7.68100497654321,12.794182464410735,15.091217067538127,5.981229815628816,902,198,18,59984,"Webb County, Texas","Webb County, Texas"
537,49005,8.04951516680348,6.0,7.198124599720115,17.4,12182,182,14.93947779886148,11.083499449891068,5.708449522770398,4.115350594117647,3.34360115370019,6.790834669322709,10.374547761530913,6.505482051233397,10.341932116474291,5.7287754520958085,5.566412335294118,12.504405336893203,12.924849964023984,7.87989608677283,4.392109660805627,7.150868871260504,1962,464,182,72719,"Cache County, Utah","Cache County, Utah"
